value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
10,1,0.006672815228416018,pos_neg_null,bas,1,1,10
10,10,0.024781708400214663,pos_neg_null,bas,1,1,10
10,9,0.024751926353008744,pos_neg_null,bas,1,1,10
10,8,0.024373034477875553,pos_neg_null,bas,1,1,10
10,7,0.023410494613339324,pos_neg_null,bas,1,1,10
10,6,0.021926434511338636,pos_neg_null,bas,1,1,10
10,5,0.01948288480240374,pos_neg_null,bas,1,1,10
10,4,0.016110051658849274,pos_neg_null,bas,1,1,10
10,3,0.012092095522816138,pos_neg_null,bas,1,1,10
10,2,0.00888154491623198,pos_neg_null,bas,1,1,10
9,3,0.01101561683755247,pos_neg_null,bas,1,1,10
9,2,0.008090880157051433,pos_neg_null,bas,1,1,10
9,1,0.0060787789548405104,pos_neg_null,bas,1,1,10
9,9,0.020473069449245956,pos_neg_null,bas,1,1,10
9,8,0.022203265634987732,pos_neg_null,bas,1,1,10
9,7,0.02132641428043183,pos_neg_null,bas,1,1,10
9,6,0.019974470159853847,pos_neg_null,bas,1,1,10
9,5,0.017748453398213928,pos_neg_null,bas,1,1,10
9,4,0.014675881113593015,pos_neg_null,bas,1,1,10
8,8,0.0029720848138573537,pos_neg_null,bas,1,1,10
8,7,0.020071919322759372,pos_neg_null,bas,1,1,10
8,6,0.018799501326921274,pos_neg_null,bas,1,1,10
8,5,0.01670442672773076,pos_neg_null,bas,1,1,10
8,4,0.013812593989264018,pos_neg_null,bas,1,1,10
8,3,0.010367639376519966,pos_neg_null,bas,1,1,10
8,2,0.007614946030166049,pos_neg_null,bas,1,1,10
8,1,0.00572120372220284,pos_neg_null,bas,1,1,10
11,7,0.018432982361929213,pos_neg_null,bas,1,1,10
11,6,0.017264461400025466,pos_neg_null,bas,1,1,10
11,5,0.015340456400164026,pos_neg_null,bas,1,1,10
11,4,0.012684751133285788,pos_neg_null,bas,1,1,10
11,3,0.009521088177429124,pos_neg_null,bas,1,1,10
11,2,0.00699316112246096,pos_neg_null,bas,1,1,10
11,1,0.005254048982789092,pos_neg_null,bas,1,1,10
11,11,0.01953589761125108,pos_neg_null,bas,1,1,10
11,10,0.019532892097198436,pos_neg_null,bas,1,1,10
11,9,0.019489200438712995,pos_neg_null,bas,1,1,10
11,8,0.019190868115250302,pos_neg_null,bas,1,1,10
7,7,0.00006164935504102084,pos_neg_null,bas,1,1,10
7,6,0.01317102159497002,pos_neg_null,bas,1,1,10
7,5,0.011703202193319426,pos_neg_null,bas,1,1,10
7,4,0.009677170184010563,pos_neg_null,bas,1,1,10
7,3,0.0072636183131868795,pos_neg_null,bas,1,1,10
7,2,0.0053350680352473945,pos_neg_null,bas,1,1,10
7,1,0.004008303011019121,pos_neg_null,bas,1,1,10
12,12,0.011537197017939399,pos_neg_null,bas,1,1,10
12,11,0.011537168551064462,pos_neg_null,bas,1,1,10
12,10,0.011535341326336724,pos_neg_null,bas,1,1,10
12,9,0.011509538788175169,pos_neg_null,bas,1,1,10
12,8,0.011333355703627498,pos_neg_null,bas,1,1,10
12,7,0.01088577882625456,pos_neg_null,bas,1,1,10
12,6,0.010195697292221398,pos_neg_null,bas,1,1,10
12,5,0.009059457237418501,pos_neg_null,bas,1,1,10
12,4,0.007491104401435516,pos_neg_null,bas,1,1,10
12,3,0.005622772161862655,pos_neg_null,bas,1,1,10
12,2,0.00412988000426344,pos_neg_null,bas,1,1,10
12,1,0.0031028302445011303,pos_neg_null,bas,1,1,10
3,3,1.5980907453678067e-10,pos_neg_null,bas,1,1,10
3,2,0.004045440078525723,pos_neg_null,bas,1,1,10
3,1,0.003039389477420263,pos_neg_null,bas,1,1,10
5,5,1.59189661531839e-7,pos_neg_null,bas,1,1,10
5,4,0.0070176888816422065,pos_neg_null,bas,1,1,10
5,3,0.0052674296832319395,pos_neg_null,bas,1,1,10
5,2,0.0038688838701650212,pos_neg_null,bas,1,1,10
5,1,0.002906740600796603,pos_neg_null,bas,1,1,10
6,1,0.0029009732583347,pos_neg_null,bas,1,1,10
6,6,0.000002299994070311161,pos_neg_null,bas,1,1,10
6,2,0.003861207513279759,pos_neg_null,bas,1,1,10
4,4,7.1804525180183635e-9,pos_neg_null,bas,1,1,10
4,3,0.00525697843386042,pos_neg_null,bas,1,1,10
4,2,0.003861207513279759,pos_neg_null,bas,1,1,10
4,1,0.0029009732583347,pos_neg_null,bas,1,1,10
6,5,0.008470087342790896,pos_neg_null,bas,1,1,10
6,4,0.007003764895765919,pos_neg_null,bas,1,1,10
6,3,0.00525697843386042,pos_neg_null,bas,1,1,10
2,1,0.0025837694229303198,pos_neg_null,bas,1,1,10
2,2,5.410827099093138e-13,pos_neg_null,bas,1,1,10
1,1,9.850597341751623e-17,pos_neg_null,bas,1,1,10
13,6,0.006178061928000327,pos_neg_null,bas,1,1,10
13,12,0.006990941030286633,pos_neg_null,bas,1,1,10
13,3,0.0034071072951063703,pos_neg_null,bas,1,1,10
13,13,0.006990941123071946,pos_neg_null,bas,1,1,10
13,11,0.00699092369451118,pos_neg_null,bas,1,1,10
13,8,0.0068674237163244695,pos_neg_null,bas,1,1,10
13,9,0.006974181496180494,pos_neg_null,bas,1,1,10
13,4,0.004539219395665383,pos_neg_null,bas,1,1,10
13,5,0.0054895595899599,pos_neg_null,bas,1,1,10
13,7,0.006596215422600347,pos_neg_null,bas,1,1,10
13,10,0.006989816491423362,pos_neg_null,bas,1,1,10
13,1,0.0018801536425787535,pos_neg_null,bas,1,1,10
13,2,0.002502492344590847,pos_neg_null,bas,1,1,10
14,14,0.005854377076156103,pos_neg_null,bas,1,1,10
14,1,0.0015744844920981599,pos_neg_null,bas,1,1,10
14,8,0.005750940719498721,pos_neg_null,bas,1,1,10
14,7,0.005523824571686803,pos_neg_null,bas,1,1,10
14,10,0.005853435282695035,pos_neg_null,bas,1,1,10
14,6,0.005173653086945068,pos_neg_null,bas,1,1,10
14,12,0.005854376997755386,pos_neg_null,bas,1,1,10
14,5,0.0045970851780952615,pos_neg_null,bas,1,1,10
14,2,0.0020956454296727047,pos_neg_null,bas,1,1,10
14,4,0.0038012481442228577,pos_neg_null,bas,1,1,10
14,9,0.00584034217318184,pos_neg_null,bas,1,1,10
14,11,0.005854362480372869,pos_neg_null,bas,1,1,10
14,3,0.00285319107841729,pos_neg_null,bas,1,1,10
14,13,0.0058543770757262465,pos_neg_null,bas,1,1,10
15,5,0.0031994365708355272,pos_neg_null,bas,1,1,10
15,1,0.0010957950677606232,pos_neg_null,bas,1,1,10
15,12,0.0040744748336026424,pos_neg_null,bas,1,1,10
15,15,0.004074474888169372,pos_neg_null,bas,1,1,10
15,6,0.0036007109396320957,pos_neg_null,bas,1,1,10
15,4,0.0026455573164920966,pos_neg_null,bas,1,1,10
15,2,0.0014585078081971205,pos_neg_null,bas,1,1,10
15,10,0.004073819427516687,pos_neg_null,bas,1,1,10
15,8,0.004002486215035737,pos_neg_null,bas,1,1,10
15,3,0.00198573738058346,pos_neg_null,bas,1,1,10
15,14,0.004074474888167914,pos_neg_null,bas,1,1,10
15,11,0.004074464729929832,pos_neg_null,bas,1,1,10
15,9,0.004064707006976368,pos_neg_null,bas,1,1,10
15,7,0.0038444200315768924,pos_neg_null,bas,1,1,10
15,13,0.00407447488786808,pos_neg_null,bas,1,1,10
