value,theta,probability,alternatives,prior_distribution,cost_of_adjective,speaker_lambda,resample_number
1,1,2.8090678132448808e-8,pos_neg_null,hair,1,1,10
3,3,0.07777645403794288,pos_neg_null,hair,1,1,10
3,2,0.08158624964284956,pos_neg_null,hair,1,1,10
3,1,0.026843818899709455,pos_neg_null,hair,1,1,10
2,2,0.0002476329377927599,pos_neg_null,hair,1,1,10
2,1,0.025535302996354436,pos_neg_null,hair,1,1,10
4,4,0.0661604635948488,pos_neg_null,hair,1,1,10
4,3,0.06553677547059711,pos_neg_null,hair,1,1,10
4,2,0.054098409261387696,pos_neg_null,hair,1,1,10
4,1,0.01779966486181451,pos_neg_null,hair,1,1,10
5,2,0.02778026421530718,pos_neg_null,hair,1,1,10
5,5,0.033986435140102265,pos_neg_null,hair,1,1,10
5,4,0.033983855680556674,pos_neg_null,hair,1,1,10
5,3,0.03365401983625255,pos_neg_null,hair,1,1,10
5,1,0.009140368442553393,pos_neg_null,hair,1,1,10
6,6,0.021679787551613296,pos_neg_null,hair,1,1,10
6,3,0.02146772212712532,pos_neg_null,hair,1,1,10
6,1,0.0058305929223024825,pos_neg_null,hair,1,1,10
6,2,0.017720884331027552,pos_neg_null,hair,1,1,10
6,5,0.02167977984362256,pos_neg_null,hair,1,1,10
6,4,0.021678122676228803,pos_neg_null,hair,1,1,10
7,1,0.0026940033304367903,pos_neg_null,hair,1,1,10
7,2,0.00818786734766948,pos_neg_null,hair,1,1,10
7,5,0.010017059993752997,pos_neg_null,hair,1,1,10
7,3,0.009919079530684966,pos_neg_null,hair,1,1,10
7,7,0.010017063628654321,pos_neg_null,hair,1,1,10
7,6,0.010017063589820317,pos_neg_null,hair,1,1,10
7,4,0.010016294305848286,pos_neg_null,hair,1,1,10
8,8,0.005724036359622872,pos_neg_null,hair,1,1,10
8,7,0.005724036359398375,pos_neg_null,hair,1,1,10
8,6,0.005724036337040187,pos_neg_null,hair,1,1,10
8,5,0.0057240342821445744,pos_neg_null,hair,1,1,10
8,4,0.005723596746199026,pos_neg_null,hair,1,1,10
8,3,0.005668045446105699,pos_neg_null,hair,1,1,10
8,2,0.004678781341525422,pos_neg_null,hair,1,1,10
8,1,0.0015394304745353102,pos_neg_null,hair,1,1,10
12,1,0.0012507872605599384,pos_neg_null,hair,1,1,10
12,10,0.004650779542207947,pos_neg_null,hair,1,1,10
12,11,0.004650779542208062,pos_neg_null,hair,1,1,10
12,12,0.004650779542208083,pos_neg_null,hair,1,1,10
12,9,0.004650779542207187,pos_neg_null,hair,1,1,10
12,2,0.003801509839989402,pos_neg_null,hair,1,1,10
12,3,0.004605286924960877,pos_neg_null,hair,1,1,10
12,4,0.004650422356286705,pos_neg_null,hair,1,1,10
12,8,0.004650779542199045,pos_neg_null,hair,1,1,10
12,5,0.004650777854242463,pos_neg_null,hair,1,1,10
12,6,0.0046507795238451485,pos_neg_null,hair,1,1,10
12,7,0.004650779542011175,pos_neg_null,hair,1,1,10
13,13,0.004293027269730542,pos_neg_null,hair,1,1,10
13,12,0.004293027269730542,pos_neg_null,hair,1,1,10
13,11,0.00429302726973052,pos_neg_null,hair,1,1,10
13,10,0.004293027269730412,pos_neg_null,hair,1,1,10
13,9,0.004293027269729711,pos_neg_null,hair,1,1,10
13,8,0.004293027269722196,pos_neg_null,hair,1,1,10
13,7,0.004293027269548778,pos_neg_null,hair,1,1,10
13,6,0.004293027252780137,pos_neg_null,hair,1,1,10
13,5,0.004293025711608432,pos_neg_null,hair,1,1,10
13,4,0.004292697559649266,pos_neg_null,hair,1,1,10
